SERIAL,PERSON NUMBERS,PERSON 1 DESCRIPTION,RELATIONSHIP DESCRIPTION,HOUSEHOLD DESCRIPTION,OTHER PERSON DESCRIPTIONS,group_id,day_index,hour_index,_household_size,_segment,_serial_num,_reused,status,posted_at,error,uri,cid,thread_post_count
3809,"1,2","I am a 68-year-old woman. I was born in Alabama. I am not in the work force anymore, my income was $22.2k last year. I studied liberal arts in college.",I live with my husband.,"We live in the birmingham, Alabama area. We live in a house built around 1990 with 2 bedrooms. We used a mortgage to buy our home. Our annual property taxes are $ 1,800 - 1,899.","My husband is 77 years old. He is a veteran. He was born in Alabama. He is not in the work force anymore, he had a income of $55k last year.",1,1,20,2,size_2,3809,0,posted,2026-04-07T18:12:56+00:00,,at://did:plc:kjxtmrzpyp2sdsgkabuzijyr/app.bsky.feed.post/3miwextfivy2x,bafyreibucolyijpafttcciql7a43rbjyvnzli7frv33qcedcewfuk3o4fm,2.0
1531609,"1,2,3",I am a 52-year-old man. I was naturalized as a citizen in 2022. I was born in mexico. I speak spanish. My ancestry is mexican. I am a manager. I made $80k last year. I leave for work at around 6:02 am. It takes me about 20 minutes to get to work.,I live with my wife and my son.,We live in Wyoming. We live in a house built in the 2010s with 4 bedrooms. We used a mortgage to buy our home.,My wife is 45 years old. She was naturalized as a citizen in 2020. She was born in mexico. She speaks spanish. Her ancestry is mexican. She is a teaching assistant. She made $27.2k last year. She leaves for work at around 6:32 am. It takes her about 5 minutes to get to work. My son is 17 years old. He was naturalized as a citizen in 2022. He was born in mexico. He speaks spanish. His ancestry is mexican. He works as a food preparation worker. He made $330 last year.,1,1,21,3,size_3_4,1531609,0,posted,2026-04-07T19:19:42+00:00,,at://did:plc:kjxtmrzpyp2sdsgkabuzijyr/app.bsky.feed.post/3miwip7qiub2b,bafyreibs5lwdzsnkzfuuhi3hemrp6w5hyxwtpie3qs3q5qgeuuys7xzity,4.0
1531612,"1,2",I am a 60-year-old man. I was born in Oregon. My ancestry is serbian. I am a chief executive and legislator. I made $132k last year. I studied educational administration and supervision in college. I drive to work. I leave for work at around 7:47 am. It takes me about 5 minutes to get to work.,I live with my wife.,We live in Wyoming. We live in a house built before 1939 with 3 bedrooms. We rent.,My wife is 56 years old. She was born in North Dakota. Her ancestry is german. She is a education and childcare administrator. She made $32k last year. She leaves for work at around 7:12 am. It takes her about 5 minutes to get to work.,1,1,22,2,size_2,1531612,0,posted,2026-04-07T20:07:29+00:00,,at://did:plc:kjxtmrzpyp2sdsgkabuzijyr/app.bsky.feed.post/3miwlenmj7r2h,bafyreicqqwvkn7yaywmnypo7ujcyt6tnvdxf2dk4equmadpr3tpny3uzmi,3.0
3800,"1,2,3,4",I am a 64-year-old man. I have been married more than once. I was born in Alabama. I am a production worker. I made $28k last year. I drive to work. I leave for work at around 7:02 am. It takes me about 15 minutes to get to work.,"I live with my wife, my sister, and a female relative.",We live in Alabama. We live in a house built in the 1960s with 3 bedrooms. We own our home.,My wife is 52 years old. She was born in Alabama. She is a administrative assistant. She made $28k last year. She leaves for work at around 7:02 am. It takes her about 15 minutes to get to work. My sister is 47 years old. She has trouble with her hearing. She was born in Alabama. She did not have personal income last year. My relatives is 26 years old. She was born in Alabama. She is a shuttle driver and chauffeur. She made $35.2k last year. She leaves for work at around 7:02 am. It takes her about 15 minutes to get to work.,1,1,23,4,size_3_4,3800,0,posted,2026-04-07T21:09:28+00:00,,at://did:plc:kjxtmrzpyp2sdsgkabuzijyr/app.bsky.feed.post/3miwotird2r2t,bafyreifudeqay3yvaxeneddgmpkk7jmvnfa46weelm5i6k3cmeaquktd4i,4.0
3812,1,"I am a 76-year-old woman. I am divorced. I was born in Georgia. My ancestry is english. I am not in the work force anymore, my income was $87k last year.",I live alone.,"I live in the anniston-oxford, Alabama area. I live in a house built in the 1970s with 3 bedrooms. I used a mortgage to buy my home.",,2,2,0,1,size_1,3812,0,posted,2026-04-07T22:07:07+00:00,,at://did:plc:kjxtmrzpyp2sdsgkabuzijyr/app.bsky.feed.post/3miws2l3rfj2w,bafyreic2wvl2cjg4op3dph3vx7bzqy4weqw57uhmfugg5hvuqv6bp642fu,2.0
1531549,"1,2,3,4,5,6,7,8,9",I am a 46-year-old woman. I got divorced last year. I have been married more than twice. I was born in Wyoming. My ancestry is native american. I am a medical and health services manager. I made $113.8k last year. I studied sociology in college. I drive to work. I leave for work at around 7:32 am. It takes me about 15 minutes to get to work.,"I live with 2 daughters, my adopted daughter, my stepdaughter, my foster son, a male relative and a female relative, and a female non-relative.","We live in Wyoming. We live in a house built in the 1980s with 5 bedrooms. We used a mortgage to buy our home. Our annual property taxes are $ 2,400 - 2,499.","My adopted daughter is 6 years old. She has trouble with her hearing. She was born in Wyoming. Her ancestry is native american. My stepdaughter is 18 years old. She was born in New Mexico. Her ancestry is native american. She have been looking for work. She is a fast food and counter worker. She made $9.2k last year. My relatives is 77 years old. He was born in Wyoming. His ancestry is native american. He is not in the work force anymore, he had a income of $9.6k last year. My relatives is 3 years old. She was born in Wyoming. Her ancestry is native american. My foster child is 5 years old. He was born in Wyoming. His ancestry is native american. My non-relatives (1990 includes employees) is 18 years old. She was born in Wyoming. Her ancestry is native american. She have been looking for work. She made $3.6k last year. My 1st daughter is 14 years old. She was born in Wyoming. Her ancestry is native american. My 2nd daughter is 12 years old. She was born in Wyoming. Her ancestry is native american.",2,2,1,9,size_8_plus,1531549,0,posted,2026-04-07T23:07:48+00:00,,at://did:plc:kjxtmrzpyp2sdsgkabuzijyr/app.bsky.feed.post/3miwvh3hfhb2o,bafyreifpt2nzjqi2tif7ztnjavnd3xeuvwxcwloiy2yhv2phelec6nawhq,7.0
1531594,1,"I am a 68-year-old man. I am divorced. I have been married more than once. I am a veteran. I was born in Iowa. I am not in the work force anymore, my income was $109k last year.",I live alone.,"I live in Wyoming. I live in a house built in the 1950s with 2 bedrooms. I own my home. My annual property taxes are $ 2,500 - 2,599.",,2,2,2,1,size_1,1531594,0,posted,2026-04-08T00:05:36+00:00,,at://did:plc:kjxtmrzpyp2sdsgkabuzijyr/app.bsky.feed.post/3miwyoh3wqh2r,bafyreidqyq53hqa6xir37tvqhlzbv4wd2mtsjfdtxpwbkhk7uiueylljaa,2.0
5513,"1,2,3,4,5,6,7,8",I am a 53-year-old man. I have been married more than once. I was born in South Carolina. I am a manager. I made $58k last year. I drive to work. I leave for work at around 6:27 am. It takes me about 32 minutes to get to work.,"I live with my wife, 5 sons, and my stepson.",We live in Alabama. We live in a house built in the 1950s with 3 bedrooms. We used a mortgage to buy our home. Our annual property taxes are $ 600 - 649.,My wife is 47 years old. She was born in California. Her ancestry is mexican. She is a retail salesperson. She did not have personal income last year. My stepson is 3 years old. He was born in Alabama. My 1st son is 21 years old. He was born in California. He works as a maid and housekeeping cleaner. He made $18.2k last year. He leaves for work at around 2:45 pm. It takes him about 2 minutes to get to work. My 2nd son is 18 years old. He was born in California. He did not have personal income last year. My 3rd son is 16 years old. He was born in California. He did not have personal income last year. My 4th son is 14 years old. He was born in California. My 5th son is 11 years old. He was born in California.,2,2,3,8,size_8_plus,5513,0,posted,2026-04-08T01:25:07+00:00,,at://did:plc:kjxtmrzpyp2sdsgkabuzijyr/app.bsky.feed.post/3mix54mimia2e,bafyreihv3xv3wsnmoccpfdtql65zps6ldilbcznhdn2dtjl6xobvoo5ucu,5.0
3814,1,"I am a 69-year-old woman. I was widowed. I was born in Alabama. I am not in the work force anymore, my income was $8.9k last year.",I live alone.,"I live in the montgomery, Alabama area. I live in a house built in the 2000s with 2 bedrooms.",,2,2,4,1,size_1,3814,0,posted,2026-04-08T02:52:33+00:00,,at://did:plc:kjxtmrzpyp2sdsgkabuzijyr/app.bsky.feed.post/3mixbyxj4g52l,bafyreicvvgma7f2fcl5utp2w6f4ftpwh4pdsnzfldkcitugswe3s6maody,1.0
1531573,"1,2,3,4,5,6,7",I am a 34-year-old man. I was born in Kentucky. My ancestry is german. I am a construction laborer. I made $35k last year. I drive to work. I leave for work at around 7:32 am. It takes me about 90 minutes to get to work.,I live with my wife and 3 sons and 2 daughters.,"We live in Wyoming. We live in a house built in 2021 with 3 bedrooms. We own our home. Our annual property taxes are $ 2,300 - 2,399.",My wife is 31 years old. She was born in Ohio. Her ancestry is german. She did not have personal income last year. My 1st son is 9 years old. He was born in Kentucky. His ancestry is german. My 2nd son is 8 years old. He was born in Kentucky. His ancestry is german. My 1st daughter is 6 years old. She was born in Wyoming. Her ancestry is german. My 2nd daughter is 4 years old. She was born in Kentucky. My 3rd son is 2 years old. He was born in Kentucky.,2,2,5,7,size_5_7,1531573,0,posted,2026-04-08T03:55:05+00:00,,at://did:plc:kjxtmrzpyp2sdsgkabuzijyr/app.bsky.feed.post/3mixfirk3bf2h,bafyreigf3sybo2kqrxbzzeovtikqfk5r4mmfrymccemdjkjdkw5nn3dbcu,4.0
